time ;ax ;ay ;az ;gx ;gy ;gz ;mx ;my ;mz ;ThetaGyrx ;ThetaGyry ;ThetaGyrz ;ThetaAccx ;ThetaAccxy ;ThetaAccxz 
0;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,02;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,04;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,06;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,08;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,09999999;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,12;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,14;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,16;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,18;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,2;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,22;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,24;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,26;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,28;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,3;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,32;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,34;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,36;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,38;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,4;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,42;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,44;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,46;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,48;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,5;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,52;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,54;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,56;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,58;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,6;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,62;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,64;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,66;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,68;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,7;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,72;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,74;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,76;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,78;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,8;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,82;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,84;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,86;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,88;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,9;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,92;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,94;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,96;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
0,98;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1,02;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1,04;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1,06;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1,08;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
1,1;0;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;NaN
